v8-version,6,2,414,54,0
code-creation,Stub,3,4541,0xe240ac47540,2104,"RecordWriteStub"
code-creation,Stub,3,4542,0xe240ac47de0,1246,"RecordWriteStub"
code-creation,Stub,3,4542,0xe240ac48320,2100,"RecordWriteStub"
code-creation,Stub,3,4543,0xe240ac48bc0,2072,"RecordWriteStub"
code-creation,Stub,3,4544,0xe240ac49440,2099,"RecordWriteStub"
code-creation,Stub,3,4545,0xe240ac49ce0,2134,"RecordWriteStub"
code-creation,Stub,3,4545,0xe240ac4a5a0,2104,"RecordWriteStub"
code-creation,Stub,3,4546,0xe240ac4ae40,2100,"RecordWriteStub"
code-creation,Stub,3,4547,0xe240ac4b6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,4548,0xe240ac4b8a0,25,"Abort"
code-creation,Stub,3,4549,0xe240ac4b920,2114,"RecordWriteStub"
code-creation,Builtin,5,4549,0xe240ac4c1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,4550,0xe240ac4c260,28,"ReturnReceiver"
code-creation,Builtin,5,4553,0xe240ac4c2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,4557,0xe240ac4c500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,4558,0xe240ac4c660,223,"CreateIterResultObject"
code-creation,Builtin,5,4559,0xe240ac4c7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,4559,0xe240ac4c9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,4560,0xe240ac4cc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,4564,0xe240ac4d2a0,76,"ToBoolean"
code-creation,Builtin,5,4564,0xe240ac4d360,3876,"ResolveNativePromise"
code-creation,Builtin,5,4566,0xe240ac4e300,284,"StringEqual"
code-creation,Builtin,5,4566,0xe240ac4e480,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,4567,0xe240ac4f900,668,"RejectNativePromise"
code-creation,Builtin,5,4568,0xe240ac4fc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,4569,0xe240ac50460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,4570,0xe240ac50b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,4571,0xe240ac50f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,4572,0xe240ac51120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,4572,0xe240ac512c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,4573,0xe240ac513a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,4574,0xe240ac51880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,4575,0xe240ac51c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,4576,0xe240ac52080,15,"Illegal"
code-creation,Builtin,5,4577,0xe240ac52100,15,"ObjectAssign"
code-creation,Builtin,5,4577,0xe240ac52180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,4578,0xe240ac52200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,4579,0xe240ac52280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,4580,0xe240ac52300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,4581,0xe240ac52380,15,"ObjectIs"
code-creation,Builtin,5,4582,0xe240ac52400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,4582,0xe240ac52480,15,"ObjectSeal"
code-creation,Builtin,5,4586,0xe240ac52500,848,"ObjectCreate"
code-creation,Builtin,5,4586,0xe240ac528c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,4587,0xe240ac52940,15,"ObjectDefineProperty"
code-creation,Builtin,5,4588,0xe240ac529c0,15,"ObjectFreeze"
code-creation,Builtin,5,4589,0xe240ac52a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,4589,0xe240ac52ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,4590,0xe240ac52b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,4591,0xe240ac52bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,4592,0xe240ac52c40,15,"ObjectIsSealed"
code-creation,Builtin,5,4593,0xe240ac52cc0,540,"ObjectKeys"
code-creation,Builtin,5,4593,0xe240ac52f40,15,"ObjectEntries"
code-creation,Builtin,5,4594,0xe240ac52fc0,15,"ObjectValues"
code-creation,Builtin,5,4595,0xe240ac53040,15,"ObjectDefineGetter"
code-creation,Builtin,5,4596,0xe240ac530c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,4596,0xe240ac53140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,4597,0xe240ac53940,15,"ObjectLookupGetter"
code-creation,Builtin,5,4598,0xe240ac539c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,4599,0xe240ac53a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,4600,0xe240ac53b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,4600,0xe240ac53c00,1188,"ObjectPrototypeToString"
code-creation,Builtin,5,4601,0xe240ac54120,132,"ClassOf"
code-creation,Builtin,5,4602,0xe240ac54220,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,4603,0xe240ac542c0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,4604,0xe240ac54340,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,4605,0xe240ac543c0,15,"FunctionConstructor"
